index,Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
179,FCX,25.285,775,1.1962021712932893,0.9920159680638723,1.3209635740462131,1.0,0.5794434502289139,0.9760479041916167,0.3197445911522483,0.8842315369261478,0.9630738522954092
23,ALB,140.09,139,1.25125261080987,0.9940119760479043,0.6981417054920357,0.9820359281437127,0.4919069330359161,0.9680638722554891,0.24110487694628654,0.8063872255489022,0.9376247504990021
288,LRCX,508.9,38,0.8922977647776764,0.9780439121756487,0.6634743943412761,0.9780439121756487,0.5165370722982517,0.9700598802395209,0.22146106330818685,0.7724550898203593,0.9246506986027944
462,URI,250.0,78,0.5683615246360774,0.936127744510978,0.5229237649341915,0.9580838323353293,0.40361513100847096,0.940119760479042,0.292026687903068,0.8622754491017964,0.9241516966067864
324,MU,74.16,264,0.5558016872759306,0.9281437125748504,0.37826384527444,0.8882235528942115,0.5995073823898123,0.9820359281437127,0.345322049415853,0.8962075848303394,0.9236526946107785
29,AMAT,92.97,210,0.6162631746086915,0.9441117764471058,0.4859600893272543,0.9441117764471058,0.4751023343826346,0.9620758483033931,0.2690283394986378,0.8363273453093812,0.9216566866267465
24,ALGN,533.84,36,0.9209409348038422,0.9800399201596807,0.8331260502471025,0.9940119760479043,0.7096704275626894,0.9920159680638723,0.09512366779250485,0.5209580838323353,0.8717564870259481
275,LB,40.752,481,1.1841737533224672,0.9900199600798403,1.06330585359875,0.996007984031936,0.2765324864241285,0.8243512974051896,0.15087739617745877,0.6626746506986028,0.8682634730538922
410,SIVB,368.657,53,0.514148309543239,0.9121756487025948,0.535870032433416,0.9620758483033931,0.3934490196850729,0.936127744510978,0.1464233820124672,0.654690618762475,0.8662674650698603
495,XLNX,149.4,131,0.639843197624381,0.9500998003992016,0.5723878271760287,0.9700598802395209,0.4787506581637984,0.9640718562874251,0.10983193425224666,0.562874251497006,0.8617764471057884
266,KLAC,269.818,72,0.6799869108228853,0.9580838323353293,0.3892192980136077,0.9001996007984032,0.3873834468430557,0.9301397205588822,0.1432858076842421,0.6487025948103792,0.8592814371257484
388,QCOM,162.05,120,0.97190103971981,0.9860279441117764,0.8108890291324437,0.9920159680638723,0.3817268932017468,0.9261477045908184,0.09491263861364259,0.5189620758483035,0.8557884231536926
45,APTV,123.66,158,0.3243458574852728,0.7984031936127746,0.44215995265276076,0.9261477045908184,0.43637812742582827,0.9461077844311377,0.18932922958622703,0.7365269461077844,0.8517964071856288
358,PAYC,440.63,44,0.6512805818789711,0.9540918163672655,0.3322183986298671,0.8483033932135728,0.6234030288838319,0.9880239520958084,0.128825505330498,0.6167664670658684,0.8517964071856288
389,QRVO,171.61,114,0.5510002178041088,0.9241516966067864,0.4436712442021202,0.9281437125748504,0.4068393525746927,0.9421157684630738,0.12612599605700953,0.6107784431137725,0.8512974051896207
253,IVZ,17.53,1118,0.1289093079959627,0.564870259481038,0.7743131170001003,0.9880239520958084,0.5806489404937185,0.9780439121756487,0.2998521476347965,0.8662674650698602,0.8493013972055888
349,NWSA,19.33,1014,0.4467765443552227,0.8722554890219562,0.4575156441659877,0.9321357285429142,0.2650249234493067,0.8043912175648703,0.23582626552431288,0.7864271457085829,0.8488023952095809
348,NWS,18.957,1034,0.4250735189258635,0.8562874251497006,0.45088456452218184,0.9301397205588822,0.2672085275541647,0.8123752495009979,0.2376371587073593,0.7924151696606786,0.8478043912175648
369,PH,275.5,71,0.40402925889214986,0.844311377245509,0.43621395028552035,0.9241516966067864,0.3512204248896863,0.9041916167664671,0.1623428924029413,0.7025948103792414,0.843812375249501
203,GM,45.14,434,0.2657116254750162,0.7265469061876247,0.4642625792830358,0.936127744510978,0.48,0.9660678642714571,0.1898535205410902,0.7385229540918163,0.841816367265469
385,PWR,71.63,273,0.7556570101401924,0.9640718562874251,0.674360950350905,0.9800399201596807,0.3673215673981249,0.9141716566866268,0.08776277590045371,0.4970059880239521,0.8388223552894212
158,EMN,103.61,189,0.3823187656928858,0.8363273453093812,0.3573675857011355,0.8702594810379242,0.3218014140232489,0.8862275449101795,0.2065349321810373,0.7604790419161677,0.8383233532934131
441,TPR,29.5,664,0.1660340033247059,0.6047904191616766,0.703623444197527,0.9840319361277444,1.0166843090636215,0.998003992015968,0.21580709516665258,0.7664670658682634,0.8383233532934131
299,MCHP,145.88,134,0.4861301259177194,0.8942115768463075,0.3304349926018034,0.8403193612774451,0.3459946497866731,0.8982035928143712,0.16025144338753303,0.6966067864271457,0.8323353293413174
314,MOS,22.3,879,0.2157776307842897,0.6646706586826348,0.6248041543133934,0.9760479041916167,0.23890488813609773,0.7485029940119761,0.3540192407941823,0.9041916167664671,0.8233532934131736
120,CTVA,39.692,493,0.5599421474006143,0.9301397205588822,0.27537834164437286,0.7744510978043913,0.3314513355933846,0.8922155688622755,0.15791086252823602,0.6866267465069861,0.8208582834331337
318,MS,64.9,302,0.3584295501826323,0.8263473053892215,0.3328511629996274,0.8522954091816368,0.25003790878384596,0.7684630738522954,0.2614462159555419,0.8283433133732535,0.8188622754491018
502,ZBRA,383.38,51,0.4899726144497998,0.8982035928143712,0.3706207023469894,0.8782435129740519,0.470611659568575,0.9580838323353293,0.096473597036361,0.5229540918163673,0.8143712574850299
180,FDX,303.7,64,0.9487747540215483,0.9840319361277444,1.1078454229486492,0.998003992015968,0.311735109339264,0.8682634730538922,0.054884988990420616,0.3892215568862275,0.809880239520958
347,NWL,22.35,877,0.22543140985804938,0.6786427145708583,0.3928975808820418,0.9021956087824351,0.3763303288571233,0.9181636726546907,0.18299434210555016,0.7245508982035928,0.8058882235528942
